phi_deg,phi_rad,eta_dp,xi_dp
0.0,0.0,0.0,1.1547005383792515
1.0,0.017453292519943295,0.020270224508041227,1.1612803843125616
2.0,0.03490658503988659,0.04077278418056324,1.1675797748442638
3.0,0.05235987755982988,0.061505337060013654,1.1735917434669163
4.0,0.06981317007977318,0.08246533477444429,1.179309230357348
5.0,0.08726646259971647,0.1036500144039586,1.1847250858192133
6.0,0.10471975511965977,0.12505639024239443,1.1898320740956256
7.0,0.12217304763960307,0.14668124546681297,1.1946228775685026
8.0,0.13962634015954636,0.16852112372869674,1.1990901013613315
9.0,0.15707963267948966,0.19057232068215416,1.2032262783620886
10.0,0.17453292519943295,0.2128308754658831,1.2070238746829833
11.0,0.19198621771937624,0.2352925621571608,1.2104752955735654
12.0,0.20943951023931953,0.2579528812177022,1.2135728918035211
13.0,0.22689280275926285,0.2808070509528531,1.2163089665311648
14.0,0.24434609527920614,0.30384999900726356,1.218675782673218
15.0,0.2617993877991494,0.3270763539219124,1.220665570790957
16.0,0.2792526803190927,0.3504804367791165,1.2222705375071612
17.0,0.29670597283903605,0.3740562529639612,1.2234828744675388
18.0,0.3141592653589793,0.3977974840724145,1.2242947678594052
19.0,0.3316125578789226,0.4216974799982381,1.224698408499366
20.0,0.3490658503988659,0.44574925123266734,1.2246860025005588
21.0,0.3665191429188092,0.46994546141268856,1.2242497825286773
22.0,0.3839724354387525,0.49427842015560053,1.2233820196545027
23.0,0.40142572795869574,0.518740076219365,1.2220750358089847
24.0,0.41887902047863906,0.5433220110300475,1.2203212168450785
25.0,0.4363323129985824,0.5680154326193881,1.2181130262085085
26.0,0.4537856055185257,0.5928111700172185,1.2154430192174202
27.0,0.47123889803846897,0.617699668145024,1.212303857948469
28.0,0.4886921905584123,0.642670983258446,1.2086883267243085
29.0,0.5061454830783556,0.6677147789878795,1.2045893481946386
30.0,0.5235987755982988,0.6928203230275508,1.2000000000000002
