Step,Element,von_Mises_Stress,Total_Plastic_Energy,Equiv_Plastic_Strain
1,1,54.598000,0.008021,0.008956
1,2,52.880000,0.007168,0.008467
1,3,38.840000,0.005461,0.007390
1,4,43.398000,0.006421,0.008013
1,5,52.880000,0.007168,0.008467
1,6,50.814000,0.006417,0.008010
1,7,43.398000,0.006421,0.008013
1,8,47.367000,0.007388,0.008595
2,1,109.200000,0.032084,0.017912
2,2,105.760000,0.028673,0.016933
2,3,77.681000,0.021844,0.014780
2,4,86.796000,0.025684,0.016026
2,5,105.760000,0.028673,0.016933
2,6,101.630000,0.025667,0.016021
2,7,86.796000,0.025684,0.016026
2,8,94.735000,0.029552,0.017191
3,1,163.790000,0.072189,0.026868
3,2,158.640000,0.064514,0.025400
3,3,116.520000,0.049149,0.022170
3,4,130.190000,0.057789,0.024039
3,5,158.640000,0.064514,0.025400
3,6,152.440000,0.057751,0.024031
3,7,130.190000,0.057789,0.024039
3,8,142.100000,0.066492,0.025786
4,1,200.300000,0.111620,0.033410
4,2,200.190000,0.103940,0.032240
4,3,149.380000,0.077830,0.027898
4,4,170.090000,0.096580,0.031077
4,5,200.190000,0.103940,0.032240
4,6,198.130000,0.097641,0.031248
4,7,170.090000,0.096580,0.031077
4,8,186.470000,0.113850,0.033742
5,1,201.230000,0.125130,0.035374
5,2,201.050000,0.110480,0.033239
5,3,169.920000,0.091434,0.030238
5,4,192.700000,0.117450,0.034271
5,5,201.050000,0.110480,0.033239
5,6,200.820000,0.102020,0.031941
5,7,192.700000,0.117450,0.034271
5,8,198.620000,0.131390,0.036248
6,1,202.130000,0.137330,0.037058
6,2,201.860000,0.114920,0.033900
6,3,187.560000,0.106560,0.032644
6,4,199.890000,0.129120,0.035933
6,5,201.860000,0.114920,0.033900
6,6,201.560000,0.103640,0.032193
6,7,199.890000,0.129120,0.035933
6,8,200.840000,0.143240,0.037847
7,1,202.980000,0.147550,0.038412
7,2,202.640000,0.118620,0.034441
7,3,198.840000,0.119580,0.034580
7,4,200.850000,0.137980,0.037146
7,5,202.640000,0.118620,0.034441
7,6,202.290000,0.105060,0.032413
7,7,200.850000,0.137980,0.037146
7,8,201.360000,0.155430,0.039425
8,1,203.800000,0.156280,0.039532
8,2,203.410000,0.122060,0.034937
8,3,200.580000,0.127100,0.035651
8,4,201.300000,0.148030,0.038475
8,5,203.410000,0.122060,0.034937
8,6,203.020000,0.106500,0.032634
8,7,201.300000,0.148030,0.038475
8,8,201.890000,0.168900,0.041097
9,1,204.610000,0.164800,0.040596
9,2,204.180000,0.125570,0.035436
9,3,200.930000,0.134660,0.036696
9,4,201.750000,0.159190,0.039899
9,5,204.180000,0.125570,0.035436
9,6,203.750000,0.108000,0.032863
9,7,201.750000,0.159190,0.039899
9,8,202.420000,0.183460,0.042832
10,1,205.420000,0.173400,0.041641
10,2,204.950000,0.129160,0.035939
10,3,201.280000,0.143180,0.037839
10,4,202.200000,0.171420,0.041403
10,5,204.950000,0.129160,0.035939
10,6,204.500000,0.109570,0.033101
10,7,202.200000,0.171420,0.041403
10,8,202.940000,0.199090,0.044620
